Topic,Subtopic,Filename,recompress,Title,Video Start Time,Video End Time,Slide Start,Slide End
Lecture 14,Introduction to Drought,Module 8 Introduction to Drought,,Introduction to Drought,00:13:59,00:18:31,3,3
Lecture 14,The Dust Bowl,Module 8 The Dust Bowl,,The Dust Bowl,00:18:31,00:24:22,4,4
Lecture 14,Drought Impacts,Module 8 Drought Impacts,,Drought Impacts,00:28:19,00:35:30,6,8
Lecture 14,Time Scale of Droughts,Module 8 Time Scale of Droughts,,Time Scale of Droughts,00:35:39,00:39:18,9,9
Lecture 14,Measuring Droughts,Module 8 Measuring Droughts,,Measuring Droughts,00:39:23,00:46:27,10,11
Lecture 14,Seasonal Drought,Module 8 Seasonal Drought,,Seasonal Drought,00:55:51,00:59:56,16,17
Lecture 14,The Cost of Droughts,Module 8 The Cost of Droughts,,The Cost of Droughts,1:11:31,1:15:57,26,28
,,,,,,,,
