Topic,Subtopic,Filename,Title,recompress,Video Start Time,Video End Time,Slide Start,Slide End
Lecture 17,Case Study Hurricane Sandy I,Module 7 Case Study Hurricane Sandy I,Case Study Hurricane Sandy I,,00:14:42,00:19:49,7,8
Lecture 17,Case Study Hurricane Sandy II,Module 7 Case Study Hurricane Sandy II,Case Study Hurricane Sandy II,,00:23:14,00:30:36,10,11
Lecture 17,Case Study Hurricane Katrina,Module 7 Case Study Hurricane Katrina,Case Study Hurricane Katrina,,00:30:38,00:40:18,12,16
Lecture 17,Case Study Typhoon Haiyan,Module 7 Case Study Typhoon Haiyan,Case Study Typhoon Haiyan,,00:41:21,00:43:33,17,17
Lecture 17,Observing Hurricanes,Module 7 Observing Hurricanes,Observing Hurricanes,,00:43:57,00:48:43,19,22
