Topic,Subtopic,Filename,Title,recompress,Video Start Time,Video End Time,Slide Start,Slide End
Lecture 24,Climate Scenarios,Module 12 Climate Scenarios,,,00:06:10,00:16:54,3,3
Lecture 24,Climate Change in the US,Module 12 Climate Change in the US,,,00:25:14,00:37:12.5,6,10
Lecture 24,Climate Parameters and Weather,Module 12 Climate Parameters and Weather I,,,00:41:49,00:44:57.5,13,14
Lecture 24,Climate Parameters and Weather,Module 12 Climate Parameters and Weather II,,,00:44:59,00:50:44,15,18
