Topic,Subtopic,Filename,Title,recompress,Video Start Time,Video End Time,Slide Start,Slide End
Lecture 10,General Thunderstorm Info,Module 6 General Thunderstorm Info,,,00:20:17,00:27:52,8,10
Lecture 10,Thunderstorm Ingredients,Module 6 Thunderstorm Ingredients,,,00:27:56,00:35:08,11,14
Lecture 10,Humid Air Mass Thunderstorms,Module 6 Humid Air Mass Thunderstorms,,,00:35:11,00:37:25,15,16
Lecture 10,When Do Thunderstorms Occur,Module 6 When Do Thunderstorms Occur,,,00:37:45,00:41:45,17,18
Lecture 10,Triggering Thunderstorms,Module 6 Triggering Thunderstorms,,,00:41:51,00:45:30,19,20
Lecture 10,Convergence,Module 6 Convergence,,,00:46:22,00:49:00,22,23
Lecture 10,Life Cycle of a Single Cell Thunderstorm,Module 6 Life Cycle of a Single Cell Thunderstorm,,,00:53:39,1:01:44,25,29
Lecture 10,Multi-Cell Storms,Module 6 Multi-Cell Storms,,,1:09:07,1:13:06,35,36
