Topic,Subtopic,Filename,Title,recompress,Video Start Time,Video End Time,Slide Start,Slide End
Lecture 22,Human Causes of Climate Change,Module 11 Human Causes of Climate Change I,Human Causes of Climate Change,,00:11:31,00:14:41,4,4
Lecture 22,Human Causes of Climate Change,Module 11 Human Causes of Climate Change II,Human Causes of Climate Change,,00:15:04,00:28:41,5,7
Lecture 22,Are Temperatures Changing,Module 11 Are Temperatures Changing,Are Temperatures Changing,,00:28:46,00:31:55,8,8
Lecture 22,Detecting Climate Change in Water and Ice,Module 11 Detecting Climate Change in Water and Ice,Detecting Climate Change in Water and Ice,,00:34:52,00:43:14,10,13
Lecture 22,Climate Feedback Mechanisms,Module 11 Climate Feedback Mechanisms I,Climate Feedback Mechanisms,,1:04:45,1:09:03,25,26
