Topic,Subtopic,Filename,Title,recompress,Video Start Time,Video End Time,Slide Start,Slide End
Lecture 25,Changes in Extreme Weather with Climate,Module 12 Changes in Extreme Weather with Climate I,,,00:07:32,00:11:28,3,3
Lecture 25,Changes in Extreme Weather with Climate,Module 12 Changes in Extreme Weather with Climate II,,,00:16:58,00:22:40.5,5,6
Lecture 25,Changes in Extreme Weather with Climate,Module 12 Changes in Extreme Weather with Climate III,,,00:33:13,00:36:49,10,11
Lecture 25,Mitigation and Adaptation,Module 12 Mitigation and Adaptation I,,,00:36:52,00:43:44,12,12
Lecture 25,Mitigation and Adaptation,Module 12 Mitigation and Adaptation II,,,00:43:47,00:52:09,13,13
Lecture 25,Mitigation and Adaptation,Module 12 Mitigation and Adaptation III,,,00:52:11,00:56:54,14,14
Lecture 25,Mitigation and Adaptation,Module 12 Mitigation and Adaptation IV,,,00:56:56,1:02:50,15,17
Lecture 25,Policy and Climate Change,Module 12 Policy and Climate Change I,,,1:02:53,1:04:17,18,18
Lecture 25,Policy and Climate Change,Module 12 Policy and Climate Change II,,,1:08:29,1:12:08,20,20
Lecture 25,Policy and Climate Change,Module 12 Policy and Climate Change III,,,1:12:10,1:19:54,21,25
