Topic,Subtopic,Filename,Title,recompress,Video Start Time,Video End Time,Slide Start,Slide End,
Lecture 26,Global Stabilization Policy,Module 12 Global Stabilization Policy,Global Stabilization Policy,,00:12:28,00:23:47.5,3,4,
Lecture 26,Adapting to Extremes,Module 12 Adapting to Extremes,Adapting to Extremes,,00:30:53,00:36:58,6,7,**this one is really close so we'll have to check it once it's done
Lecture 26,Taking Action,Module 12 Taking Action,Taking Action,,00:42:06,00:49:51,10,10,
,,,,,,,,,
