Topic,Subtopic,Filename,Title,recompress,Video Start Time,Video End Time,Slide Start,Slide End
Lecture 21,US Climates,Module 10 US Climates,US Climates,,00:30:25,00:31:43,23,23
Lecture 21,The Climate System,Module 11 The Climate System,The Climate System,,00:43:58,00:46:33,29,29
Lecture 21,Natural Causes of Climate Change,Module 11 Natural Causes of Climate Change,Natural Causes of Climate Change,,00:51:42,00:53:17,31,31
Lecture 21,The Geosphere and Climate,Module 11 The Geosphere and Climate,The Geosphere and Climate,,00:57:21,1:05:11,33,34
Lecture 21,Milankovitch Cycles,Module 11 Milankovitch Cycles,Milankovitch Cycles,,1:05:16,1:11:56,35,36
Lecture 21,Solar Variability and Climate,Module 11 Solar Variability and Climate,Solar Variability and Climate,,1:14:26,1:18:03,38,39
