Topic,Subtopic,Filename,Title,recompress,Video Start Time,Video End Time,Slide Start,Slide End
Lecture 8,Flooding,Module 4 Flooding,Flooding,,00:08:54,00:17:39,3,6
Lecture 8,Case Study China Floods,Module 4 Case Study China Floods,Case Study China Floods,,00:17:45,00:25:35,7,10
Lecture 8,Worldwide Flood Mitigation,Module 4 Worldwide Flood Mitigation,Worldwide Flood Mitigation,,00:25:39,00:29:25,11,13
Lecture 8,Flash Floods,Module 4 Flash Floods,Flash Floods,,00:29:35,00:37:15,14,16
Lecture 8,Lake Effect Snow,Module 4 Lake Effect Snow,Lake Effect Snow,,00:43:16,00:48:42,18,19
Lecture 8,Air Masses,Module 5 Air Masses,Air Masses,,00:54:01,00:57:33,25,25
Lecture 8,Fronts,Module 5 Fronts,Fronts,,00:57:34,1:03:45,26,29
Lecture 8,Warm Fronts,Module 5 Warm Fronts,Warm Fronts,,1:03:51,1:07:10,30,32
Lecture 8,Cold Fronts,Module 5 Cold Fronts,Cold Fronts,,1:07:13,1:08:09,33,34
Lecture 8,Mid-Latitude Cyclones,Module 5 Mid-Latitude Cyclones,Mid-Latitude Cyclones,,1:16:42,1:19:12,44,46
