Topic,Subtopic,Filename,Title,recompress,Video Start Time,Video End Time,Slide Start,Slide End
Lecture 19,Economic Impact of Droughts,Module 8 Economic Impacts of Droughts,Economic Impact of Droughts,,00:00:02,00:01:25,6,6
Lecture 19,Droughts and Public Health,Module 8 Droughts and Public Health,Droughts and Public Health,,00:01:29,00:04:58,7,8
Lecture 19,Case Study California Drought,Module 8 Case Study California Drought,Case Study California Drought,,00:05:16,00:11:52,9,11
Lecture 19,Resolving the California Drought,Module 8 Resolving the California Drought,Resolving the California Drought,,00:18:04,00:22:38,14,17
